Cereal Name,mfr ,type,calories,protien,fat,sodium,fiber,carbo,sugar,potass,vitamins,shelf,weight,cups,rating
100% Bran,N,cold,70,4,1,130,10,5,6,280,25,3,1,0.33,68.40297
100 % Natural Bran,Q,cold,120,3,5,15,2,8,8,135,0,3,1,1,33.98368
All-Bran,K,cold,70,4,1,260,9,7,5,320,25,3,1,0.33,59.42551
All Bran with Extra Fiber,K,cold,50,4,0,140,14,8,0,330,25,3,1,0.5,93.70491
Almond Delight,R,cold,110,2,2,200,1,14,8,,25,3,1,0.75,34.38484
Apple Cinnamon Cheerios,G,cold,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.50954
Apple Jacks,K,cold,110,2,0,125,1,11,14,30,25,2,1,1,33.17409
Basic 4,G,cold,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.03856
Bran Chex,R,cold,90,2,1,200,4,15,6,125,25,1,1,0.67,49.12025
Bran Flakes,P,cold,90,3,0,210,5,13,5,190,25,3,1,0.67,53.31381
Cap’n’Crunch,Q,cold,120,1,2,220,0,12,12,35,25,2,1,0.75,18.04285
Cheerios,G,cold,110,6,2,290,2,17,1,105,25,1,1,1.25,50.765
Cinnamon Toast Crunch,G,cold,120,1,3,210,0,13,9,45,25,2,1,0.75,19.82357
Clusters,G,cold,110,3,2,140,2,13,7,105,25,3,1,0.5,40.40021
Cocoa Puffs,G,cold,110,1,1,180,0,12,13,55,25,2,1,1,22.73645
Corn Chex,R,cold,110,2,0,280,0,22,3,25,25,1,1,1,41.44502
Corn Flakes,K,cold,100,2,0,290,1,21,2,35,25,1,1,1,45.86332
Corn Pops,K,cold,110,1,0,90,1,13,12,20,25,2,1,1,35.78279
Count Chocula,G,cold,110,1,1,180,0,12,13,65,25,2,1,1,22.39651
Cracklin Oat Bran,K,cold,110,3,3,140,4,10,7,160,25,3,1,0.5,40.44877
